iter	Passed	Remaining
0	25	25670
1	48	24183
2	65	21918
3	85	21397
4	107	21459
5	130	21633
6	152	21687
7	174	21667
8	196	21610
9	213	21139
10	234	21084
11	253	20863
12	273	20735
13	294	20754
14	317	20856
15	338	20831
16	359	20814
17	381	20789
18	406	20971
19	426	20895
20	436	20358
21	460	20454
22	482	20501
23	504	20514
24	526	20546
25	549	20601
26	571	20595
27	584	20282
28	607	20326
29	629	20352
30	651	20354
31	673	20359
32	696	20396
33	719	20431
34	728	20080
35	750	20109
36	773	20137
37	798	20225
38	822	20257
39	845	20285
40	867	20289
41	889	20280
42	913	20326
43	938	20396
44	959	20361
45	983	20392
46	1007	20427
47	1032	20471
48	1055	20493
49	1072	20370
50	1092	20327
51	1115	20343
52	1142	20415
53	1169	20492
54	1192	20493
55	1216	20504
56	1241	20536
57	1265	20549
58	1289	20562
59	1313	20577
60	1337	20584
61	1359	20568
62	1383	20576
63	1408	20604
64	1432	20599
65	1458	20637
66	1482	20644
67	1506	20650
68	1529	20635
69	1552	20626
70	1570	20547
71	1593	20537
72	1617	20537
73	1639	20515
74	1661	20493
75	1670	20308
76	1692	20291
77	1715	20275
78	1737	20261
79	1760	20245
80	1776	20150
81	1797	20127
82	1819	20098
83	1841	20083
84	1863	20060
85	1883	20022
86	1905	19997
87	1927	19971
88	1949	19952
89	1970	19921
90	1993	19910
91	2015	19894
92	2037	19873
93	2058	19835
94	2080	19820
95	2102	19797
96	2125	19784
97	2133	19636
98	2148	19553
99	2170	19536
100	2194	19529
101	2215	19508
102	2238	19491
103	2243	19327
104	2252	19202
105	2267	19120
106	2289	19110
107	2311	19095
108	2320	18971
109	2341	18942
110	2361	18914
111	2384	18904
112	2396	18812
113	2418	18792
114	2440	18781
115	2464	18778
116	2485	18759
117	2490	18618
118	2512	18597
119	2534	18587
120	2555	18563
121	2564	18452
122	2587	18449
123	2609	18436
124	2632	18427
125	2655	18419
126	2679	18416
127	2702	18407
128	2723	18391
129	2735	18307
130	2756	18286
131	2779	18277
132	2794	18214
133	2803	18115
134	2824	18099
135	2847	18092
136	2853	17973
137	2858	17854
138	2880	17843
139	2901	17825
140	2924	17817
141	2947	17810
142	2959	17738
143	2983	17736
144	3008	17737
145	3029	17722
146	3052	17711
147	3074	17701
148	3098	17695
149	3103	17587
150	3125	17575
151	3147	17559
152	3169	17544
153	3194	17546
154	3216	17537
155	3239	17527
156	3260	17506
157	3282	17495
158	3292	17412
159	3300	17327
160	3323	17321
161	3346	17312
162	3369	17301
163	3392	17292
164	3414	17280
165	3436	17265
166	3459	17254
167	3481	17240
168	3501	17217
169	3509	17135
170	3530	17116
171	3551	17099
172	3574	17086
173	3596	17072
174	3618	17060
175	3631	17001
176	3642	16935
177	3663	16920
178	3687	16910
179	3709	16896
180	3732	16886
181	3753	16869
182	3776	16857
183	3785	16786
184	3807	16775
185	3829	16761
186	3852	16748
187	3874	16732
188	3895	16715
189	3916	16698
190	3939	16684
191	3961	16672
192	3985	16665
193	4009	16659
194	4033	16650
195	4056	16641
196	4078	16623
197	4101	16612
198	4123	16596
199	4143	16575
200	4165	16559
201	4190	16552
202	4213	16543
203	4235	16527
204	4258	16516
205	4280	16499
206	4303	16486
207	4324	16465
208	4346	16450
209	4370	16439
210	4393	16428
211	4416	16415
212	4438	16400
213	4461	16385
214	4483	16371
215	4507	16360
216	4528	16340
217	4550	16324
218	4574	16313
219	4597	16300
220	4617	16276
221	4639	16257
222	4661	16242
223	4684	16228
224	4704	16205
225	4727	16190
226	4750	16176
227	4775	16169
228	4799	16157
229	4822	16145
230	4845	16131
231	4868	16115
232	4890	16099
233	4914	16087
234	4937	16073
235	4959	16056
236	4982	16041
237	5005	16026
238	5027	16008
239	5050	15992
240	5071	15973
241	5093	15955
242	5117	15940
243	5140	15927
244	5162	15909
245	5187	15899
246	5210	15883
247	5232	15864
248	5255	15850
249	5274	15822
250	5297	15806
251	5320	15792
252	5342	15775
253	5366	15761
254	5389	15747
255	5405	15709
256	5425	15685
257	5449	15671
258	5474	15661
259	5496	15644
260	5511	15605
261	5532	15585
262	5555	15567
263	5579	15555
264	5601	15536
265	5625	15522
266	5647	15505
267	5670	15489
268	5694	15474
269	5717	15458
270	5736	15431
271	5758	15412
272	5784	15404
273	5808	15391
274	5831	15374
275	5854	15356
276	5877	15339
277	5899	15322
278	5921	15301
279	5944	15285
280	5967	15268
281	5991	15254
282	6013	15236
283	6036	15219
284	6059	15202
285	6082	15184
286	6105	15168
287	6128	15150
288	6149	15128
289	6171	15110
290	6195	15094
291	6217	15076
292	6242	15063
293	6265	15045
294	6288	15029
295	6309	15006
296	6332	14989
297	6355	14970
298	6379	14956
299	6403	14942
300	6427	14926
301	6449	14907
302	6472	14888
303	6495	14870
304	6518	14853
305	6540	14833
306	6563	14816
307	6586	14797
308	6602	14764
309	6640	14779
310	6662	14759
311	6684	14740
312	6706	14719
313	6727	14697
314	6749	14678
315	6775	14665
316	6798	14647
317	6822	14631
318	6845	14613
319	6869	14597
320	6891	14577
321	6914	14558
322	6936	14538
323	6959	14519
324	6983	14503
325	7005	14483
326	7025	14459
327	7044	14431
328	7066	14411
329	7089	14393
330	7112	14375
331	7133	14352
332	7155	14332
333	7179	14315
334	7196	14285
335	7218	14265
336	7241	14246
337	7264	14227
338	7287	14210
339	7302	14174
340	7324	14154
341	7347	14136
342	7370	14117
343	7393	14099
344	7417	14082
345	7439	14061
346	7460	14039
347	7484	14022
348	7508	14004
349	7529	13983
350	7551	13962
351	7575	13946
352	7598	13926
353	7622	13910
354	7636	13874
355	7657	13851
356	7676	13826
357	7700	13808
358	7716	13778
359	7739	13759
360	7761	13738
361	7781	13714
362	7803	13694
363	7826	13674
364	7848	13654
365	7871	13634
366	7894	13615
367	7917	13597
368	7941	13579
369	7964	13561
370	7987	13542
371	8008	13519
372	8032	13502
373	8056	13484
374	8076	13460
375	8099	13441
376	8124	13425
377	8147	13406
378	8166	13380
379	8191	13364
380	8216	13348
381	8230	13314
382	8247	13286
383	8268	13264
384	8290	13243
385	8314	13225
386	8337	13206
387	8360	13187
388	8384	13169
389	8407	13150
390	8431	13132
391	8450	13107
392	8472	13086
393	8495	13067
394	8518	13047
395	8541	13028
396	8564	13007
397	8587	12989
398	8612	12971
399	8635	12952
400	8657	12932
401	8679	12911
402	8702	12891
403	8725	12871
404	8746	12850
405	8771	12832
406	8796	12817
407	8819	12797
408	8839	12772
409	8862	12753
410	8885	12733
411	8908	12714
412	8932	12695
413	8955	12676
414	8978	12656
415	9000	12635
416	9022	12614
417	9045	12594
418	9067	12572
419	9090	12554
420	9114	12535
421	9137	12514
422	9161	12497
423	9184	12477
424	9207	12457
425	9231	12439
426	9253	12418
